"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"Type Accident - Libellé (old)";"CNIT";"Catégorie véhicule";"Age véhicule"
"89 975";"C";"2021";"Métropole";"Accident grave non mortel";"M10CTRVP029A161";"VT";"4"
"89 976";"A";"2021";"Métropole";"Accident grave non mortel";"MVW1331KB101";"VT";"22"
"89 976";"B";"2021";"Métropole";"Accident grave non mortel";"M10RENVPA395595";"VT";"1"
"89 977";"A";"2021";"Métropole";"Accident Léger";"M10PELVP1156492";"VT";"8"
"89 978";"B";"2021";"Métropole";"Accident grave non mortel";"MPE000ADM131";"VT";"24"
"89 979";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"28"
"89 980";"A";"2021";"Métropole";"Accident grave non mortel";"N/A";"Moto légère";"1"
"89 980";"B";"2021";"Métropole";"Accident grave non mortel";"M10DACVP001K257";"VT";"3"
"89 981";"A";"2021";"Métropole";"Accident grave non mortel";"MCT5001RV977";"VT";"12"
"89 982";"A";"2021";"Métropole";"Accident grave non mortel";"L3EKWAM1000L320";"Moto lourde";"2"
"89 983";"A";"2021";"Métropole";"Accident grave non mortel";"N/A";"VT";"14"
"89 983";"B";"2021";"Métropole";"Accident grave non mortel";"M10CTRVP0669159";"VT";"2"
"89 984";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"N/A"
"89 984";"B";"2021";"Métropole";"Accident Léger";"M10RENVP321G910";"VT";"7"
"89 984";"C";"2021";"Métropole";"Accident Léger";"M10NSSVP013R779";"VT";"7"
"89 985";"A";"2021";"Métropole";"Accident Léger";"L1EPGTCL009U023";"Cyclo";"6"
"89 985";"B";"2021";"Métropole";"Accident Léger";"M10CTRVP000V685";"VT";"10"
"89 986";"A";"2021";"Métropole";"Accident grave non mortel";"M10CTRVP0009577";"VT";"11"
"89 987";"A";"2021";"Métropole";"Accident grave non mortel";"MPE5211TC317";"VT";"14"
"89 987";"B";"2021";"Métropole";"Accident grave non mortel";"M10CTRVP005R359";"VT";"8"
"89 988";"A";"2021";"Métropole";"Accident grave non mortel";"N/A";"VU";"14"
"89 989";"A";"2021";"Métropole";"Accident Léger";"L1EFANCL000D001";"Cyclo";"7"
"89 990";"A";"2021";"Métropole";"Accident mortel";"MRE7222EK557";"VT";"13"
"89 990";"B";"2021";"Métropole";"Accident mortel";"N/A";"Moto lourde";"29"
"89 991";"A";"2021";"Métropole";"Accident grave non mortel";"M10MN1VP009M434";"VT";"2"
"89 991";"B";"2021";"Métropole";"Accident grave non mortel";"N/A";"VT";"0"
"89 992";"A";"2021";"Métropole";"Accident grave non mortel";"MPE5202MV730";"VT";"18"
"89 993";"A";"2021";"Métropole";"Accident grave non mortel";"M10HMCVP002Z546";"VT";"2"
